Data,Dzień tygodnia,Organizator,Tytuł,Lokalizacja,URL
2026-09-13 16:00:00,Niedziela,Quizy w Krakowie,HISTORIA POLSKI - Quiz w Bikershocie,Bikershot Pub,https://www.facebook.com/events/1400556285303221/
2026-09-13 19:00:00,Niedziela,Pubquiz Kraków,PubQuiz w Hali Lipowej - niedziela (Kraków) Drużynowy quiz z nagrodami,Hala Lipowa,https://www.facebook.com/events/1925364541716073/
2026-09-14 20:00:00,Poniedziałek,Pubquiz Kraków,PubQuiz w Domówka Cafe - poniedziałek (Kraków) Drużynowy quiz z nagrodami,Domówka Cafe,https://www.facebook.com/events/1533226832150457/
2026-09-14 20:00:00,Poniedziałek,Pubquiz Kraków,PubQuiz w Nalej Se (Kraków) Drużynowy quiz z nagrodami,Nalej Se,https://www.facebook.com/events/807445235450276/
2026-09-14 20:00:00,Poniedziałek,Pubquiz Kraków,PubQuiz w Prominent (Kraków) Drużynowy quiz z nagrodami,PROMINENT The Original Lounge Bar,https://www.facebook.com/events/1950743685542112/
2026-09-15 19:00:00,Wtorek,Pubquiz Kraków,PubQuiz w Mural Street Food (Kraków) Drużynowy quiz z nagrodami,Mural,https://www.facebook.com/events/1272782294858222/
2026-09-15 19:00:00,Wtorek,Pubquiz Kraków,PubQuiz w Nowej Wytwórni - wtorek (Kraków) Drużynowy quiz z nagrodami,Browar Nowa Wytwórnia,https://www.facebook.com/events/1400905461682638/
2026-09-15 19:00:00,Wtorek,Quizuj z Kubą,Quiz z wiedzy ogólnej i szczegółowej,Good Day Café,https://www.facebook.com/events/1730982071525671/
2026-09-15 19:00:00,Wtorek,Quizy Patryka,Quizy Patryka Piłka Nożna w Prominencie z nagrodami,PROMINENT The Original Lounge Bar,https://www.facebook.com/events/1745896419980751/
2026-09-15 20:00:00,Wtorek,Pubquiz Kraków,PubQuiz w BroPub - wtorek (Kraków) Drużynowy quiz z nagrodami,BroPub by Brokreacja,https://www.facebook.com/events/2205268903335429/
2026-09-16 19:00:00,Środa,Cybermachina,NG+ Quiz z Wiedzy Ogólnej! (min. 300 zł w puli),"Stolarska 13, 31-043 Kraków, Poland",https://www.facebook.com/events/1644176727267655/
2026-09-16 19:00:00,Środa,Pubquiz Kraków,PubQuiz w Hali Lipowej - środa (Kraków) Drużynowy quiz z nagrodami,Hala Lipowa,https://www.facebook.com/events/1888568975077548/
2026-09-16 19:30:00,Środa,Quizy w Krakowie,Weekly Pub Quiz in English,"Józefa Dietla 91, 31-031 Kraków, Poland",https://www.facebook.com/events/901289975573361/
2026-09-16 20:00:00,Środa,Pubquiz Kraków,PubQuiz w Classic Rock Pub (Kraków) Drużynowy quiz z nagrodami,Classic Rock Club Kraków,https://www.facebook.com/events/825583240275249/
2026-09-16 20:00:00,Środa,Pubquiz Kraków,PubQuiz w Project Manhattan (Kraków) Drużynowy quiz z nagrodami,Project Manhattan Karaoke Bar,https://www.facebook.com/events/1924857418071316/
2026-09-17 19:00:00,Czwartek,Pubquiz Kraków,PubQuiz w Nowej Wytwórni - czwartek! (Kraków) Drużynowy quiz z nagrodami,Browar Nowa Wytwórnia,https://www.facebook.com/events/2072698150156023/
2026-09-17 19:00:00,Czwartek,Pubquiz Kraków,PubQuiz w Piast Kawiarnia - czwartek (Kraków) Drużynowy quiz z nagrodami,Piast kawiarnia,https://www.facebook.com/events/25093069483718640/
2026-09-17 19:00:00,Czwartek,Quizuj z Kubą,Quiz in English in Good day #5,Good Day Café,https://www.facebook.com/events/1284297753666521/
2026-09-17 19:00:00,Czwartek,Quizy Patryka,Quizy Patryka Wiedza Szkolna w Classicu z nagrodami,Classic Rock Club Kraków,https://www.facebook.com/events/1574157280916270/
2026-09-17 20:00:00,Czwartek,Pubquiz Kraków,PubQuiz w BroPub - czwartek (Kraków) Drużynowy quiz z nagrodami,BroPub by Brokreacja,https://www.facebook.com/events/785651697815787/
2026-09-18 19:00:00,Piątek,Pubquiz Kraków,PubQuiz w MyKraft Multitap & Food (Kraków) Drużynowy quiz z nagrodami,MyKraft - Multitap & Food,https://www.facebook.com/events/962611419898485/
2026-09-18 20:00:00,Piątek,Pubquiz Kraków,PubQuiz w MyPub (Kraków) Drużynowy quiz z nagrodami,Bracka Kraków,https://www.facebook.com/events/2378220139263204/
2026-09-18 20:00:00,Piątek,Pubquiz Kraków,PubQuiz w Ogrodzie (Kraków) Drużynowy quiz z nagrodami,"Kraków, Marszałka Józefa Piłsudskiego 4",https://www.facebook.com/events/1243224030684685/
2026-09-22 19:00:00,Wtorek,Quizuj z Kubą,Quiz z wiedzy ogólnej,Good Day Café,https://www.facebook.com/events/2117883175464452/
2026-09-22 19:00:00,Wtorek,Quizy Patryka,Quizy Patryka Wiedza Ogólna w Bikershocie z nagrodami,Bikershot Pub,https://www.facebook.com/events/2560709951043228/
2026-09-23 19:00:00,Środa,Cybermachina,NG+ Quiz The Office (min. 300zł w puli),"Stolarska 13, 31-043 Kraków, Poland",https://www.facebook.com/events/942671728263812/
2026-09-24 19:00:00,Czwartek,Quizuj z Kubą,Birthday Quiz in English,Good Day Café,https://www.facebook.com/events/1517135843430779/
2026-09-24 19:00:00,Czwartek,Quizy Patryka,Quizy Patryka Krakowski w Classicu z nagrodami,Classic Rock Club Kraków,https://www.facebook.com/events/2815302708825661/
